Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Payment_Method,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Preferred_Payment_Method,Frequency_of_Purchases,cluster
1,55,Male,Blouse,Clothing,3,Kentucky,L,Gray,Winter,3,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly,2
2,19,Male,Sweater,Clothing,3,Maine,L,Maroon,Winter,3,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly,0
3,50,Male,Jeans,Clothing,3,Massachusetts,S,Maroon,Spring,3,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly,2
4,21,Male,Sandals,Footwear,3,Rhode Island,M,Maroon,Spring,3,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Weekly,0
5,45,Male,Blouse,Clothing,2,Oregon,M,Turquoise,Spring,2,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Annually,1
6,46,Male,Sneakers,Footwear,2,Wyoming,M,White,Summer,2,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly,1
7,63,Male,Shirt,Clothing,3,Montana,M,Gray,Fall,3,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly,2
8,27,Male,Shorts,Clothing,3,Louisiana,L,Charcoal,Winter,3,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly,0
9,26,Male,Coat,Outerwear,2,West Virginia,L,Silver,Summer,2,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually,1
10,57,Male,Handbag,Accessories,4,Missouri,M,Pink,Spring,4,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,2
11,53,Male,Shoes,Footwear,4,Arkansas,L,Purple,Fall,4,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,2
12,30,Male,Shorts,Clothing,4,Hawaii,S,Olive,Winter,4,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,0
13,61,Male,Coat,Outerwear,4,Delaware,M,Gold,Winter,4,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly,2
14,65,Male,Dress,Clothing,4,New Hampshire,M,Violet,Spring,4,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly,2
15,64,Male,Coat,Outerwear,4,New York,L,Teal,Winter,4,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,2
16,64,Male,Skirt,Clothing,2,Rhode Island,M,Teal,Winter,2,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly,1
17,25,Male,Sunglasses,Accessories,4,Alabama,S,Gray,Spring,4,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,0
18,53,Male,Dress,Clothing,4,Mississippi,XL,Lavender,Winter,4,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,2
19,52,Male,Sweater,Clothing,4,Montana,S,Black,Summer,4,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly,2
20,66,Male,Pants,Clothing,3,Rhode Island,M,Green,Summer,3,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,2
21,21,Male,Pants,Clothing,2,Louisiana,M,Black,Winter,2,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months,1
22,31,Male,Pants,Clothing,4,North Carolina,M,Charcoal,Winter,4,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,0
23,56,Male,Pants,Clothing,3,California,M,Peach,Summer,3,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually,2
24,31,Male,Pants,Clothing,4,Oklahoma,XL,White,Winter,4,Yes,Credit Card,Express,Yes,Yes,40,Credit Card,Weekly,0
25,18,Male,Jacket,Outerwear,2,Florida,M,Green,Fall,2,Yes,Cash,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1
26,18,Male,Hoodie,Clothing,3,Texas,M,Silver,Summer,3,Yes,Bank Transfer,Express,Yes,Yes,14,PayPal,Annually,0
27,38,Male,Jewelry,Accessories,3,Nevada,M,Red,Spring,3,Yes,Cash,Next Day Air,Yes,Yes,13,Credit Card,Annually,0
